Office_No,(Multiple Items),,,,,,,,,,
Age Count,1,,,,,,,,,,
Eligible Acct Tenure,TRUE,,,,,,,,,,
,,,,,,,,,,,
Customer_ID,Sum of Service_start,Sum of Service_end,,1. How many unique customers fit the above criteria? 3647,,,,,,,
15563721,8/1/2023,8/31/2023,,,,,,,,,
15572550,11/1/2023,11/30/2023,,,,,,,,,
15579960,9/13/2023,9/30/2023,,,,,,,,,
15588874,11/1/2023,11/30/2023,,,,,,,,,
15603814,11/7/2023,11/30/2023,,,,,,,,,
15613538,10/1/2023,10/31/2023,,,,,,,,,
15619041,1/10/2024,1/31/2024,,,,,,,,,
15619162,9/1/2023,9/30/2023,,,,,,,,,
15631781,11/1/2023,11/10/2023,,,,,,,,,
15633818,7/1/2023,7/21/2023,,,,,,,,,
15639603,8/15/2023,8/31/2023,,,,,,,,,
15642528,1/1/2024,1/26/2024,,,,,,,,,
15651314,9/1/2023,9/30/2023,,,,,,,,,
15653182,12/1/2023,12/31/2023,,,,,,,,,
15663333,8/28/2023,8/31/2023,,,,,,,,,
15667914,11/29/2023,11/30/2023,,,,,,,,,
15670719,3/1/2023,3/31/2023,,,,,,,,,
15681819,1/1/2024,1/19/2024,,,,,,,,,
15691611,1/24/2024,1/31/2024,,,,,,,,,
15692383,10/1/2023,10/13/2023,,,,,,,,,
15692839,10/1/2023,10/31/2023,,,,,,,,,
15693875,5/1/2023,5/31/2023,,,,,,,,,
15700549,1/16/2024,1/31/2024,,,,,,,,,
15707169,6/1/2023,6/30/2023,,,,,,,,,
15708461,11/1/2023,11/28/2023,,,,,,,,,
15725912,10/2/2023,10/31/2023,,,,,,,,,
15731471,9/1/2023,9/30/2023,,,,,,,,,
15736923,2/1/2023,2/28/2023,,,,,,,,,
15744020,1/23/2024,1/31/2024,,,,,,,,,
15747087,9/25/2023,9/30/2023,,,,,,,,,
15755063,11/1/2023,11/30/2023,,,,,,,,,
15756474,1/1/2024,1/22/2024,,,,,,,,,
15758444,8/28/2023,8/31/2023,,,,,,,,,
15760112,7/1/2023,7/31/2023,,,,,,,,,
15761226,7/1/2023,7/31/2023,,,,,,,,,
15765118,4/13/2023,4/30/2023,,,,,,,,,
15770491,12/1/2023,12/31/2023,,,,,,,,,
15776658,1/17/2024,1/31/2024,,,,,,,,,
15789336,10/23/2023,10/31/2023,,,,,,,,,
15793445,1/1/2024,1/31/2024,,,,,,,,,
15794582,1/29/2024,1/31/2024,,,,,,,,,
15804687,8/28/2023,8/31/2023,,,,,,,,,
15809921,12/22/2023,12/31/2023,,,,,,,,,
15811570,6/1/2023,6/30/2023,,,,,,,,,
15823318,11/27/2023,11/30/2023,,,,,,,,,
15830369,1/16/2024,1/31/2024,,,,,,,,,
15830579,4/24/2023,4/30/2023,,,,,,,,,
15842170,8/28/2023,8/31/2023,,,,,,,,,
15842250,12/18/2023,12/31/2023,,,,,,,,,
15844808,10/1/2023,10/31/2023,,,,,,,,,
15847382,11/1/2023,11/30/2023,,,,,,,,,
15849516,8/28/2023,8/31/2023,,,,,,,,,
15850087,9/18/2023,9/30/2023,,,,,,,,,
15851095,11/14/2023,11/30/2023,,,,,,,,,
15854398,1/9/2024,1/31/2024,,,,,,,,,
15856620,9/28/2023,9/30/2023,,,,,,,,,
15865741,1/1/2024,1/31/2024,,,,,,,,,
15872315,5/9/2023,5/31/2023,,,,,,,,,
15878340,12/1/2023,12/31/2023,,,,,,,,,
15878888,10/1/2023,10/31/2023,,,,,,,,,
15883106,9/6/2023,9/30/2023,,,,,,,,,
15893026,1/1/2024,1/31/2024,,,,,,,,,
15898856,1/1/2024,1/31/2024,,,,,,,,,
15901533,10/1/2023,10/31/2023,,,,,,,,,
15905437,9/1/2023,9/30/2023,,,,,,,,,
15905454,10/12/2023,10/31/2023,,,,,,,,,
15906749,6/1/2023,6/30/2023,,,,,,,,,
15912685,9/21/2023,9/30/2023,,,,,,,,,
15914316,11/1/2023,11/30/2023,,,,,,,,,
15917804,12/1/2023,12/31/2023,,,,,,,,,
15919586,1/11/2024,1/31/2024,,,,,,,,,
15922349,1/1/2024,1/31/2024,,,,,,,,,
15927900,11/1/2023,11/30/2023,,,,,,,,,
15927985,1/11/2024,1/31/2024,,,,,,,,,
15928614,10/25/2023,10/31/2023,,,,,,,,,
16148954,3/1/2023,3/31/2023,,,,,,,,,
16401983,5/9/2023,5/31/2023,,,,,,,,,
16552342,8/29/2023,8/31/2023,,,,,,,,,
16555348,6/13/2023,6/30/2023,,,,,,,,,
16742365,9/13/2023,9/30/2023,,,,,,,,,
16898495,1/1/2024,1/31/2024,,,,,,,,,
17010674,12/11/2023,12/31/2023,,,,,,,,,
17031466,9/12/2023,9/30/2023,,,,,,,,,
17053522,1/24/2024,1/31/2024,,,,,,,,,
17100934,12/1/2023,12/31/2023,,,,,,,,,
17446058,6/1/2023,6/30/2023,,,,,,,,,
17504895,9/1/2023,9/30/2023,,,,,,,,,
17772022,1/11/2024,1/31/2024,,,,,,,,,
17845186,1/1/2024,1/31/2024,,,,,,,,,
17908180,1/11/2024,1/31/2024,,,,,,,,,
17983296,10/1/2023,10/31/2023,,,,,,,,,
18162830,12/4/2023,12/31/2023,,,,,,,,,
18215737,12/1/2023,12/31/2023,,,,,,,,,
18279220,8/2/2023,8/31/2023,,,,,,,,,
(blank),###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,,,,,,,,
Grand Total,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,,,,,,,,
